date	doctorants	étudiants	entrepreneurs	institutions	chercheurs	artistes	habitants	startup	associations	collectivités	industriels
03-Apr-14	0	0	0	0	0	0	0	0	0	0	0
11-Apr-14	0	0	0	0	0	0	0	0	0	0	0
15-Apr-14	0	0	0	0	0	0	0	0	0	0	0
17-Apr-14	0	0.7	0	0	0	0	0	0	0	0	0
30-Apr-14	0	3.5	0	0	0	0	0	0	0	0	0
05-May-14	0	3.5	0.175	0.175	0	0	0	0	0	0	0
06-May-14	0.7	4.2	0.175	0.175	0	0	0	0	0	0	0
07-May-14	0.7	4.375	0.35	0.175	0	0	0	0	0	0	0
20-May-14	0.7	4.9	0.35	0.175	0	0	0	0	0	0	0
27-May-14	0.7	4.9	0.35	0.175	0	0	0	0	0	0	0
30-May-14	0.7	4.9	0.35	0.175	0	0	0	0	0	0	0
03-Jun-14	0.7	4.9	0.35	2.975	0	0	0	0	0	0	0
10-Jun-14	0.7	4.9	0.35	2.975	0	0	0	0	0	0	0
16-Jun-14	0.7	4.9	0.81666666666667	3.4416666666667	0.46666666666667	0	0	0	0	0	0
17-Jun-14	0.7	4.9	1.2833333333333	3.9083333333333	0.93333333333333	0	0	0	0	0	0
18-Jun-14	0.9625	4.9	1.2833333333333	3.9083333333333	1.1958333333333	0	0	0	0	0	0
19-Jun-14	1.4	4.9	1.2833333333333	3.9083333333333	1.6333333333333	0.4375	0	0	0	0	0
24-Jun-14	1.4	4.9	1.8083333333333	4.4333333333333	1.6333333333333	0.4375	0	0	0	0	0
25-Jun-14	1.575	4.9	1.8083333333333	4.4333333333333	1.8083333333333	0.4375	0	0	0	0	0
26-Jun-14	1.70625	5.03125	1.8083333333333	4.4333333333333	1.9395833333333	0.56875	0	0	0	0	0
27-Jun-14	1.70625	5.03125	1.8083333333333	4.4333333333333	1.9395833333333	0.56875	0	0	0	0	0
28-Jun-14	2.05625	5.38125	1.8083333333333	4.4333333333333	2.2895833333333	0.91875	0	0	0	0	0
30-Jun-14	2.05625	5.90625	1.8083333333333	4.9583333333333	2.2895833333333	0.91875	0	0	0	0	0
01-Jul-14	2.05625	5.90625	3.2083333333333	6.3583333333333	2.2895833333333	0.91875	0	0	0	0	0
02-Jul-14	2.75625	6.60625	3.2083333333333	6.3583333333333	2.9895833333333	1.61875	0	0	0	0	0
04-Jul-14	2.75625	6.95625	3.2083333333333	6.7083333333333	2.9895833333333	1.61875	0	0	0	0	0
08-Jul-14	2.75625	6.95625	3.2083333333333	6.7083333333333	2.9895833333333	1.61875	0	0	0	0	0
11-Jul-14	3.6895833333333	6.95625	3.2083333333333	7.6416666666667	3.9229166666667	1.61875	0	0	0	0	0
11-Jul-14	3.6895833333333	6.95625	3.2083333333333	7.6416666666667	3.9229166666667	1.61875	0	0	0	0	0
22-Jul-14	3.6895833333333	6.95625	3.3833333333333	7.6416666666667	3.9229166666667	1.61875	0	0.175	0	0	0
02-Sep-14	3.6895833333333	6.95625	3.3833333333333	7.6416666666667	3.9229166666667	1.61875	0	0.175	0	0	0
12-Sep-14	3.6895833333333	6.95625	3.7333333333333	7.9916666666667	3.9229166666667	1.61875	0	0.175	0	0	0
16-Sep-14	3.6895833333333	6.95625	3.7333333333333	7.9916666666667	3.9229166666667	1.61875	0	0.175	0	0	0
19-Sep-14	3.6895833333333	6.95625	3.7333333333333	8.6916666666667	3.9229166666667	1.61875	0	0.175	0	0	0
19-Sep-14	3.6895833333333	6.95625	4.0833333333333	9.0416666666667	3.9229166666667	1.61875	0	0.175	0	0	0
23-Sep-14	3.6895833333333	6.95625	4.0833333333333	9.0416666666667	3.9229166666667	1.61875	0	0.175	0	0	0
24-Sep-14	3.6895833333333	6.95625	4.0833333333333	9.0416666666667	3.9229166666667	1.61875	0	0.175	0	0	0
24-Sep-14	3.6895833333333	6.95625	4.0833333333333	9.0416666666667	3.9229166666667	1.61875	0	0.175	0	0	0
25-Sep-14	3.6895833333333	6.95625	4.9583333333333	9.9166666666667	3.9229166666667	1.61875	0	0.175	0	0	0
26-Sep-14	3.6895833333333	6.95625	5.3083333333333	10.266666666667	3.9229166666667	1.61875	0	0.175	0	0	0
30-Sep-14	3.6895833333333	6.95625	5.3083333333333	10.266666666667	3.9229166666667	1.61875	0	0.175	0	0	0
01-Oct-14	3.6895833333333	6.95625	5.3083333333333	10.266666666667	3.9229166666667	1.61875	0	0.175	0	0	0
02-Oct-14	3.6895833333333	6.95625	5.3083333333333	10.266666666667	3.9229166666667	1.61875	0	0.175	0	0	0
03-Oct-14	3.6895833333333	6.95625	5.3083333333333	10.266666666667	3.9229166666667	1.61875	0	0.175	0	0	0
03-Oct-14	3.6895833333333	6.95625	5.4833333333333	10.441666666667	3.9229166666667	1.61875	0	0.175	0	0	0
08-Oct-14	3.6895833333333	7.13125	5.4833333333333	10.441666666667	4.0979166666667	1.61875	0	0.175	0	0	0
08-Oct-14	3.6895833333333	7.13125	5.4833333333333	10.441666666667	4.0979166666667	1.61875	0	0.175	0	0	0
09-Oct-14	3.6895833333333	7.5979166666667	5.4833333333333	10.441666666667	4.5645833333333	2.0854166666667	0	0.175	0	0	0
09-Oct-14	3.6895833333333	8.0645833333333	5.4833333333333	10.441666666667	5.03125	2.5520833333333	0	0.175	0	0	0
10-Oct-14	3.6895833333333	8.0645833333333	5.4833333333333	10.441666666667	5.03125	2.5520833333333	0	0.175	0	0	0
13-Oct-14	3.6895833333333	8.0645833333333	5.4833333333333	10.441666666667	5.03125	2.5520833333333	0	0.175	0	0	0
13-Oct-14	3.6895833333333	8.0645833333333	5.4833333333333	10.441666666667	5.03125	2.5520833333333	0	0.175	0	0	0
14-Oct-14	3.6895833333333	8.0645833333333	5.4833333333333	10.441666666667	5.03125	2.5520833333333	0	0.175	0	0	0
14-Oct-14	3.6895833333333	8.0645833333333	5.4833333333333	10.441666666667	5.03125	2.5520833333333	0	0.175	0	0	0
14-Oct-14	3.6895833333333	8.0645833333333	5.4833333333333	10.441666666667	5.03125	2.5520833333333	0	0.175	0	0	0
15-Oct-14	3.6895833333333	8.0645833333333	5.4833333333333	10.441666666667	5.03125	2.5520833333333	0	0.175	0	0	0
16-Oct-14	3.6895833333333	8.0645833333333	5.4833333333333	10.441666666667	5.03125	2.5520833333333	0	0.175	0	0	0
20-Oct-14	3.6895833333333	8.0645833333333	5.4833333333333	10.441666666667	5.03125	2.5520833333333	0	0.175	0	0	0
21-Oct-14	3.8645833333333	8.0645833333333	5.4833333333333	10.616666666667	5.20625	2.5520833333333	0	0.175	0	0	0
22-Oct-14	3.8645833333333	8.0645833333333	5.4833333333333	10.616666666667	5.20625	2.5520833333333	0	0.175	0	0	0
23-Oct-14	3.8645833333333	8.0645833333333	5.4833333333333	10.616666666667	5.20625	2.5520833333333	0	0.175	0	0	0
27-Oct-14	3.8645833333333	8.0645833333333	5.4833333333333	10.616666666667	5.20625	2.5520833333333	0	0.175	0	0	0
29-Oct-14	3.8645833333333	8.0645833333333	5.4833333333333	11.141666666667	5.20625	2.5520833333333	0	0.175	0	0	0
03-Nov-14	3.8645833333333	8.0645833333333	5.4833333333333	11.141666666667	5.20625	2.5520833333333	0	0.175	0	0	0
06-Nov-14	3.8645833333333	10.164583333333	5.4833333333333	11.141666666667	5.20625	2.5520833333333	0	0.175	0	0	0
07-Nov-14	3.8645833333333	10.164583333333	5.4833333333333	11.141666666667	5.20625	2.5520833333333	0	0.175	0	0	0
10-Nov-14	3.8645833333333	10.164583333333	5.4833333333333	11.141666666667	5.20625	2.5520833333333	0	0.175	0	0	0
12-Nov-14	3.8645833333333	10.164583333333	5.4833333333333	11.141666666667	5.20625	2.5520833333333	0	0.175	0	0	0
13-Nov-14	3.8645833333333	10.164583333333	5.4833333333333	11.141666666667	5.20625	2.5520833333333	0	0.175	0	0	0
17-Nov-14	3.8645833333333	10.164583333333	5.4833333333333	11.141666666667	5.20625	2.5520833333333	0	0.175	0	0	0
17-Nov-14	3.8645833333333	10.164583333333	5.4833333333333	11.141666666667	5.20625	2.5520833333333	0	0.175	0	0	0
18-Nov-14	3.8645833333333	10.164583333333	5.4833333333333	11.141666666667	5.20625	2.5520833333333	0	0.175	0	0	0
19-Nov-14	3.8645833333333	10.164583333333	5.4833333333333	11.141666666667	5.20625	2.5520833333333	0	0.175	0	0	0
19-Nov-14	3.8645833333333	10.164583333333	5.4833333333333	11.141666666667	5.20625	2.5520833333333	0	0.175	0	0	0
26-Nov-14	3.8645833333333	10.164583333333	5.7458333333333	11.404166666667	5.20625	2.5520833333333	0	0.175	0	0	0
26-Nov-14	3.8645833333333	10.164583333333	5.7458333333333	11.404166666667	5.20625	2.5520833333333	0	0.175	0	0	0
02-Dec-14	3.8645833333333	10.164583333333	6.0083333333333	11.666666666667	5.20625	2.8145833333333	0	0.175	0	0	0
02-Dec-14	3.8645833333333	10.164583333333	6.0083333333333	11.666666666667	5.20625	2.8145833333333	0	0.175	0	0	0
04-Dec-14	3.8645833333333	10.164583333333	6.0083333333333	11.666666666667	5.20625	2.8145833333333	0	0.175	0	0	0
04-Dec-14	3.8645833333333	10.164583333333	6.0083333333333	11.666666666667	5.20625	2.8145833333333	0	0.175	0	0	0
05-Dec-14	3.8645833333333	10.164583333333	6.0083333333333	11.666666666667	5.20625	2.8145833333333	0	0.175	0	0	0
08-Dec-14	3.8645833333333	10.164583333333	6.0083333333333	11.666666666667	5.20625	2.8145833333333	0	0.175	0	0	0
09-Dec-14	3.8645833333333	10.164583333333	6.0083333333333	11.666666666667	5.20625	2.8145833333333	0	0.175	0	0	0
10-Dec-14	3.8645833333333	10.164583333333	6.0083333333333	11.666666666667	5.20625	2.8145833333333	0	0.175	0	0	0
11-Dec-14	3.8645833333333	10.164583333333	6.3583333333333	12.016666666667	5.55625	2.8145833333333	0	0.175	0	0	0
12-Dec-14	3.8645833333333	10.164583333333	6.6383333333333	12.016666666667	5.55625	2.8145833333333	0	0.175	0	0	0
15-Dec-14	3.8645833333333	10.164583333333	6.6383333333333	12.016666666667	5.55625	2.8145833333333	0	0.175	0	0	0
16-Dec-14	3.8645833333333	10.164583333333	6.6383333333333	12.226666666667	5.55625	2.8145833333333	0	0.175	0	0	0
16-Dec-14	3.8645833333333	10.164583333333	6.6383333333333	12.226666666667	5.55625	2.8145833333333	0	0.175	0	0	0
16-Dec-14	3.8645833333333	10.164583333333	6.6383333333333	12.401666666667	5.55625	2.8145833333333	0	0.175	0	0	0
16-Dec-14	3.8645833333333	10.164583333333	6.6383333333333	12.401666666667	5.55625	2.8145833333333	0	0.175	0	0	0
17-Dec-14	3.8645833333333	10.164583333333	6.6383333333333	12.751666666667	5.55625	2.8145833333333	0	0.175	0	0	0
18-Dec-14	3.8645833333333	10.164583333333	6.6383333333333	12.751666666667	5.55625	2.8145833333333	0	0.175	0	0	0
12-Jan-15	3.8645833333333	10.164583333333	6.6383333333333	12.751666666667	5.55625	2.8145833333333	0	0.175	0	0	0
14-Jan-15	3.8645833333333	10.164583333333	6.6383333333333	13.101666666667	5.90625	2.8145833333333	0	0.175	0	0	0
15-Jan-15	4.3895833333333	10.164583333333	6.6383333333333	13.101666666667	6.43125	2.8145833333333	0	0.175	0	0	0
15-Jan-15	4.3895833333333	11.914583333333	6.6383333333333	13.101666666667	6.43125	2.8145833333333	0	0.175	0	0	0
16-Jan-15	4.3895833333333	11.914583333333	6.6383333333333	13.101666666667	6.43125	2.8145833333333	0	0.175	0	0	0
17-Jan-15	4.3895833333333	13.664583333333	6.6383333333333	13.101666666667	6.43125	2.8145833333333	0	0.175	0	0	0
19-Jan-15	4.3895833333333	13.664583333333	6.6383333333333	13.101666666667	6.43125	2.8145833333333	0	0.175	0	0	0
20-Jan-15	4.3895833333333	13.664583333333	6.6383333333333	13.101666666667	6.43125	2.8145833333333	0	0.175	0	0	0
21-Jan-15	4.3895833333333	13.664583333333	6.6383333333333	13.101666666667	6.43125	2.8145833333333	0	0.175	0	0	0
22-Jan-15	4.50625	13.664583333333	6.755	13.101666666667	6.5479166666667	2.8145833333333	0	0.175	0	0	0
23-Jan-15	4.50625	14.189583333333	6.755	13.626666666667	6.5479166666667	2.8145833333333	0	0.175	0	0	0
26-Jan-15	4.50625	14.189583333333	6.755	13.626666666667	6.5479166666667	2.8145833333333	0	0.175	0	0	0
27-Jan-15	4.50625	14.189583333333	6.755	13.626666666667	6.5479166666667	2.8145833333333	0	0.175	0	0	0
27-Jan-15	4.50625	14.189583333333	6.755	13.626666666667	6.5479166666667	2.8145833333333	0	0.175	0	0	0
02-Feb-15	4.50625	14.189583333333	6.755	13.626666666667	6.5479166666667	2.8145833333333	0	0.175	0	0	0
03-Feb-15	4.50625	14.189583333333	6.755	13.626666666667	6.5479166666667	2.8145833333333	0	0.175	0	0	0
09-Feb-15	5.03125	14.189583333333	6.755	13.626666666667	7.0729166666667	2.8145833333333	0	0.175	0	0	0
09-Feb-15	5.2645833333333	14.422916666667	6.755	13.626666666667	7.30625	2.8145833333333	0	0.175	0	0	0
10-Feb-15	5.2645833333333	14.422916666667	6.755	13.626666666667	7.30625	2.8145833333333	0	0.175	0	0	0
16-Feb-15	5.2645833333333	14.422916666667	6.755	13.626666666667	7.30625	2.8145833333333	0	0.175	0	0	0
17-Feb-15	5.2645833333333	14.422916666667	6.755	13.626666666667	7.30625	2.8145833333333	0	0.175	0	0	0
17-Feb-15	6.1395833333333	15.297916666667	7.63	14.501666666667	7.30625	2.8145833333333	0	0.175	0	0	0
18-Feb-15	6.1395833333333	16.347916666667	7.63	14.501666666667	7.30625	2.8145833333333	0	0.175	0	0	0
19-Feb-15	6.25625	16.347916666667	7.7466666666667	14.501666666667	7.4229166666667	2.8145833333333	0	0.175	0	0	0
23-Feb-15	6.25625	16.347916666667	7.7466666666667	14.501666666667	7.4229166666667	2.8145833333333	0	0.175	0	0	0
24-Feb-15	6.25625	16.347916666667	7.7466666666667	14.501666666667	7.4229166666667	2.8145833333333	0	0.175	0	0	0
25-Feb-15	6.25625	16.347916666667	7.7466666666667	14.501666666667	7.4229166666667	2.8145833333333	0	0.175	0	0	0
26-Feb-15	6.25625	16.347916666667	7.7466666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
02-Mar-15	6.25625	16.347916666667	7.7466666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
02-Mar-15	6.25625	16.347916666667	7.7466666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
03-Mar-15	6.25625	16.487916666667	7.8866666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
04-Mar-15	6.25625	16.487916666667	7.8866666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
09-Mar-15	6.25625	16.487916666667	7.8866666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
10-Mar-15	6.25625	16.487916666667	7.8866666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
11-Mar-15	6.25625	16.487916666667	7.8866666666667	14.501666666667	9.1729166666667	2.8145833333333	0	0.175	0.35	0	0
12-Mar-15	6.25625	16.487916666667	7.8866666666667	14.571666666667	9.2429166666667	2.8145833333333	0	0.175	0.35	0	0
13-Mar-15	6.25625	16.487916666667	7.8866666666667	14.571666666667	9.2429166666667	2.8145833333333	0	0.175	0.35	0	0
16-Mar-15	6.25625	16.487916666667	7.8866666666667	14.571666666667	9.2429166666667	2.8145833333333	0	0.175	0.35	0	0
18-Mar-15	6.25625	16.487916666667	7.8866666666667	14.571666666667	9.2429166666667	2.8145833333333	0	0.175	0.35	0	0
19-Mar-15	6.43125	16.487916666667	8.0616666666667	14.571666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
20-Mar-15	6.43125	16.487916666667	8.0616666666667	14.571666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
23-Mar-15	6.43125	16.487916666667	8.0616666666667	14.571666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
24-Mar-15	6.43125	16.487916666667	8.4116666666667	14.571666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
25-Mar-15	6.43125	16.487916666667	8.4116666666667	14.571666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
